﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
Siber Savaş Örnekleri,Ukrayna siber saldırısında hangi sektörler hedef alınmıştır?,"Hizmet sektörü, bankacılık sistemleri ve enerji sektörü hedef alınarak elektrik kesintilerine neden olunmuştur.","Ukrayna siber saldırılarında enerji, finans ve hükümet sektörleri başlıca hedef alınmıştır. Özellikle enerji altyapısına yönelik saldırılar dikkat çekmiştir."
İşletim Sistemi Temelleri,İşletim sistemi ile donanım arasındaki ilişki nasıldır?,"İşletim sistemi, donanım kaynaklarını yöneten ve uygulama yazılımları için altyapı sağlayan bir köprü görevi görür. Uygulama yazılımlarını kullanmamıza olanak sağlayan ve donanım ile haberleşen bir aracıdır.","İşletim sistemi, donanım kaynaklarını yönetir ve kullanıcı ile donanım arasında bir arayüz sağlar; donanımın işlevselliğini kontrol eder ve uygulama yazılımlarının donanım üzerinde çalışmasını mümkün kılar. Donanım sürücüleri aracılığıyla işletim sistemi, donanım bileşenleriyle doğrudan iletişim kurar."
İşletim Sistemi Güvenliği,İşletim sistemi güvenliğinin genel sistem güvenliğindeki rolü nedir?,"İşletim sistemi, üzerinde çalışan uygulamalara güvenlik altyapısını sağladığı için güvenliği kritik bir rol oynar. İşletim sisteminin risk altına girmesi, bilgisayardaki tüm uygulamaların da tehlikede olduğu anlamına gelir.","İşletim sistemi güvenliği, sistem kaynaklarına yetkisiz erişimi önleyerek ve zararlı yazılımlara karşı koruma sağlayarak genel sistem güvenliğinin temelini oluşturur. Ayrıca, kullanıcı kimlik doğrulama, erişim kontrolü ve güvenlik güncellemeleri gibi mekanizmalarla sistemin bütünlüğünü ve gizliliğini korur."
Windows Güvenliği,Windows 10 işletim sisteminin sunduğu yerleşik koruma hizmeti nedir?,"Windows 10, ek ücret ödemeden kapsamlı ve yerleşik bir koruma hizmeti olan Windows Güvenliği'ni sunar. Bu araç, kötü amaçlı yazılımlara ve diğer tehditlere karşı gerçek zamanlı koruma sağlar.","Windows 10 işletim sistemi, yerleşik koruma hizmeti olarak Windows Defender Antivirus (şimdi Microsoft Defender Antivirus olarak bilinir) sunar. Bu hizmet, kötü amaçlı yazılımlara, virüslere ve diğer güvenlik tehditlerine karşı gerçek zamanlı koruma sağlar."
Windows Güvenliği,Windows Hello nedir?,"Windows'ta bulunan yüz tanıma, parmak izi tanıma veya PIN gibi biyometrik ve alternatif oturum açma seçeneklerini kapsayan bir güvenlik özelliğidir.","Windows Hello, biyometrik kimlik doğrulama yöntemleri (yüz tanıma, parmak izi tarayıcı) ve PIN kodu kullanarak Windows cihazlarına güvenli ve hızlı bir şekilde oturum açmayı sağlayan bir kimlik doğrulama özelliğidir. Bu sistem, kullanıcıların parola yerine daha güvenli ve kullanıcı dostu bir kimlik doğrulama yöntemi kullanmalarına olanak tanır."
Windows Güvenliği,Gelişmiş Güvenlik Özellikli Windows Defender Güvenlik Duvarı'nın işlevi nedir?,İşletim sistemi güvenliğinde savunma hattının en önünde yer alır. Sistemdeki uygulamaları engellemek veya izin vermek için kurallar ve istisnalar oluşturulmasını sağlar.,"Gelişmiş Güvenlik Özellikli Windows Defender Güvenlik Duvarı, ağ trafiğini izleyerek ve kontrol ederek yetkisiz erişimleri engelleyen, ayrıca gelen ve giden bağlantılar için kurallar tanımlayarak sistem güvenliğini artıran bir güvenlik duvarıdır. Ayrıca, IPsec ile veri şifreleme ve kimlik doğrulama gibi ek güvenlik özellikleri sunar."
Windows Güvenliği,Windows'ta 'Cihaz Güvenliği' seçeneği ne işe yarar?,Cihazı kötü amaçlı yazılımların saldırılarına karşı korumaya yardımcı olmak için kullanılan bir güvenlik seçeneğidir.,"Windows'ta 'Cihaz Güvenliği' seçeneği, cihazın donanım tabanlı güvenlik özelliklerini yönetir ve kullanıcıya güvenlik işlemcisi, güvenli önyükleme ve bellek bütünlüğü gibi güvenlik durumlarını görüntüleme ve yapılandırma imkanı sağlar. Bu özellik, cihazın kötü amaçlı yazılımlara ve diğer güvenlik tehditlerine karşı korunmasına yardımcı olur."
Windows Yönetimsel Araçlar,Bileşen Hizmetleri (Component Services) ne işe yarar?,"COM bileşenlerini ve COM+ uygulamalarını yapılandırmaya ve yönetmeye olanak tanıyan, Microsoft Yönetim Konsolunun bir parçasıdır.","Bileşen Hizmetleri, Windows işletim sisteminde COM+ uygulamalarını yönetmek ve yapılandırmak için kullanılan bir yönetim aracıdır. Bu hizmet, uygulama bileşenlerinin dağıtımını, güvenliğini ve performansını optimize etmeye yardımcı olur."
Windows Yönetimsel Araçlar,Bilgisayar Yönetimi konsolu neleri içerir?,"Yerel ve uzak bilgisayarı yönetmeye yardımcı olan çeşitli yönetim araçlarını (Olay Görüntüleyicisi, Aygıt Yöneticisi, Disk Yönetimi vb.) tek bir pencerede toplar.","Bilgisayar Yönetimi konsolu, Windows işletim sisteminde Disk Yönetimi, Aygıt Yöneticisi, Olay Görüntüleyici, Hizmetler ve Uygulamalar gibi sistem araçlarını içerir. Bu konsol, sistem yöneticilerine bilgisayarın donanım ve yazılım bileşenlerini yönetme ve izleme imkanı sağlar."
Windows Yönetimsel Araçlar,Disk Temizleme aracı hangi dosyaları temizler?,"Geçici dosyalar, kurulum günlükleri, güncelleme günlükleri ve Windows güncelleme önbelleği gibi gereksiz dosyaları belirleyip temizlemeye yardımcı olur.","Disk Temizleme aracı, geçici internet dosyaları, sistem önbellek dosyaları, geri dönüşüm kutusu içeriği, geçici sistem dosyaları ve kullanılmayan program yükleme dosyalarını temizler. Ayrıca, sistem güncelleme artıklarını ve hata raporlama dosyalarını da kaldırabilir."
Windows Yönetimsel Araçlar,Görev Zamanlayıcısı'nın temel amacı nedir?,"Günlük, haftalık, aylık veya sadece bir kez gibi belirlenen zamanlarda otomatik olarak çalıştırılacak görevler oluşturmak ve yönetmek için kullanılır.","Görev Zamanlayıcısı, belirli zamanlarda veya belirli olaylar gerçekleştiğinde otomatik olarak programlar veya komut dosyaları çalıştırmak için kullanılan bir sistem aracıdır. Bu, sistem yönetimini otomatikleştirir ve zamanlanmış görevlerin düzenli olarak yürütülmesini sağlar."
Windows Yönetimsel Araçlar,Windows Hizmetler aracı ile neler yapılabilir?,"Arka planda çalışan tüm hizmetler görüntülenebilir ve sistem kaynaklarını tüketen hizmetler öğrenilebilir. Hizmetler başlatılabilir, durdurulabilir veya yeniden başlatılabilir.","Windows Hizmetler aracı, sistemde çalışan hizmetleri başlatma, durdurma, duraklatma, devam ettirme ve yapılandırma işlemlerini gerçekleştirmenizi sağlar. Ayrıca, hizmetlerin başlangıç türlerini (otomatik, manuel, devre dışı) ayarlayarak sistem performansını ve güvenliğini yönetebilirsiniz."
Windows Kayıt Defteri,Windows Kayıt Defteri (Registry) nedir?,"İşletim sisteminin kayıtlarını, ayarlarını, tercihlerini ve diğer verileri barındıran ana veri tabanıdır. Windows ve çoğu program yapılandırma ayarlarını burada saklar.","Windows Kayıt Defteri (Registry), işletim sisteminin ve yüklü uygulamaların yapılandırma ayarlarını saklayan hiyerarşik bir veritabanıdır. Sistem donanımı, yazılım ayarları, kullanıcı tercihleri ve diğer yapılandırma bilgilerini içerir."
Windows Kayıt Defteri,HKEY_CURRENT_USER anahtarı neyi ifade eder?,Kayıt defterinde o anda oturum açmış kullanıcıyla ilgili bilgileri tutan bölümdür.,"HKEY_CURRENT_USER (HKCU), Windows Kayıt Defteri'nde, oturum açmış olan kullanıcının profil ayarlarını ve yapılandırmalarını içeren bir anahtardır. Bu anahtar, kullanıcının masaüstü ayarları, varsayılan yazıcı bilgileri ve diğer kullanıcıya özgü ayarları saklar."
Windows Kayıt Defteri,HKEY_LOCAL_MACHINE anahtarı hangi bilgileri içerir?,"Sistemle ilgili bilgileri, donanım ayarlarını ve bazı yazılım ayarlarını tutan bölümdür.","HKEY_LOCAL_MACHINE (HKLM) anahtarı, Windows işletim sisteminde donanım, yazılım ve güvenlik ayarları gibi bilgisayarın tüm kullanıcıları için geçerli olan yapılandırma bilgilerini içerir. Bu anahtar, sistemin donanım profilleri, yüklü yazılımlar ve sürücüler gibi kritik sistem bilgilerini barındırır."
Windows İzleme Araçları,Kaynak İzleyicisi (Resource Monitor) hangi kaynakları izler?,"CPU, disk, ağ ve bellek kaynaklarının gerçek zamanlı kullanımını ve performanslarını izlemek için kullanılır.","Kaynak İzleyicisi (Resource Monitor), CPU, bellek, disk ve ağ kullanımı gibi sistem kaynaklarını izler. Bu araç, kullanıcıların sistem performansını ve kaynak tüketimini detaylı bir şekilde analiz etmelerine olanak tanır."
Windows İzleme Araçları,Olay Görüntüleyicisi (Event Viewer) nedir?,"Yöneticilerin ve kullanıcıların yerel veya uzak bir makinede sistem, güvenlik ve uygulama olay günlüklerini (Log) görüntülemesine olanak tanıyan bir bileşendir.","Olay Görüntüleyicisi, Windows işletim sisteminde sistem, güvenlik ve uygulama olaylarının kaydedildiği günlükleri görüntülemek ve yönetmek için kullanılan bir yönetim aracıdır. Bu araç, sistem yöneticilerine ve kullanıcılarına sorun giderme, performans izleme ve güvenlik denetimi yapma imkanı sağlar."
Windows İzleme Araçları,Olay Görüntüleyicisi'nde olaylar hangi seviyelerde sınıflandırılır?,"Olaylar Hata, Uyarı ve Bilgi olmak üzere üç farklı seviyede kaydedilir.","Olay Görüntüleyicisi'nde olaylar genellikle beş seviyede sınıflandırılır: Bilgi (Information), Uyarı (Warning), Hata (Error), Kritik (Critical) ve Denetim Başarısı/Başarısızlığı (Audit Success/Failure). Bu seviyeler, olayların önem derecesini ve sistem üzerindeki potansiyel etkilerini belirtir."
Windows Komut Satırı,CMD (Komut Satırı) nedir?,Windows işletim sistemlerinde bulunan MS-DOS tabanlı bir komut yazma konsol ekranıdır.,"CMD (Komut Satırı), Windows işletim sistemlerinde komut tabanlı işlemler gerçekleştirmek için kullanılan bir komut satırı arabirimidir. Kullanıcıların metin tabanlı komutlar girerek dosya yönetimi, ağ ayarları ve sistem yapılandırması gibi işlemleri yapmasına olanak tanır."
Windows Komut Satırı,'type' komutu ne işe yarar?,Dosyaların içeriğini görüntülemek için kullanılır.,"'type' komutu, Unix tabanlı işletim sistemlerinde bir komutun veya programın türünü ve nerede bulunduğunu belirlemek için kullanılır; bu, komutun bir yerleşik kabuk komutu mu, bir dosya mı yoksa bir alias mı olduğunu gösterir."
Windows Komut Satırı,Pipe (|) operatörünün işlevi nedir?,"Bir komutun çıktısını diğer komutun girdisi yapmak için kullanılır, böylece birden fazla işlem birleştirilebilir.","Pipe (|) operatörü, bir komutun çıktısını başka bir komutun girdisi olarak yönlendirmek için kullanılır, böylece birden fazla komutun ardışık olarak çalıştırılmasını sağlar. Bu, özellikle Unix tabanlı sistemlerde komut satırı işlemlerinde yaygındır."
Windows Komut Satırı,'tracert' komutu ne yapar?,Bir paketin hedefe gitmesi için kullandığı yolu izler ve kullanıcılara bu yol (hop noktaları) hakkında bir rapor görüntüler.,"'tracert' komutu, bir IP paketi hedefe ulaşana kadar geçtiği yönlendiricilerin listesini ve her bir yönlendiriciye ulaşma süresini göstererek ağ üzerindeki yolun izini sürer. Bu, ağ sorunlarını teşhis etmek ve gecikme sürelerini analiz etmek için kullanılır."
Windows Komut Satırı,'ping' komutu nasıl çalışır?,Karşıdaki bilgisayara 32 baytlık ICMP paketleri gönderir ve aynı paketin geri gelmesini bekleyerek erişilebilirliği test eder.,"'ping' komutu, ICMP (Internet Control Message Protocol) Echo Request ve Echo Reply mesajlarını kullanarak hedef bir IP adresine ulaşılabilirliği ve gecikme süresini test eder. Hedefe gönderilen Echo Request mesajına karşılık bir Echo Reply mesajı alındığında, bu süre ölçülerek ağ bağlantısının durumu değerlendirilir."
Windows Komut Satırı,'tasklist' komutu hangi bilgileri verir?,"Çalışan işlemlerin isimlerini, PID değerlerini, oturum adını ve kullandığı bellek miktarını gösterir.","'tasklist' komutu, Windows işletim sisteminde çalışan tüm aktif süreçlerin (process) adlarını, süreç kimliklerini (PID), bellek kullanımını ve çalıştıkları oturumları listeler."
Windows Komut Satırı,'sfc /scannow' komutunun amacı nedir?,Korunan tüm sistem dosyalarını tarar ve bozuk dosyaları önbelleğe alınmış sağlam kopyaları ile değiştirir.,"'sfc /scannow' komutu, Windows işletim sisteminde Sistem Dosyası Denetleyicisi (System File Checker) aracını çalıştırarak bozulmuş veya eksik sistem dosyalarını tarar ve gerektiğinde bu dosyaları onarır. Bu işlem, sistem kararlılığını ve bütünlüğünü korumak için kullanılır."
PowerShell,PowerShell nedir?,"Microsoft tarafından cmd.exe alternatifi olarak geliştirilen, daha güçlü ve .NET sınıflarını kullanan bir komut satırı yorumlayıcısıdır.","PowerShell, Microsoft tarafından geliştirilen, görev otomasyonu ve yapılandırma yönetimi için kullanılan bir komut satırı kabuğu ve betik dilidir. Windows, Linux ve macOS üzerinde çalışabilir ve sistem yönetimi görevlerini otomatikleştirmek için cmdlet adı verilen komutlar kullanır."
PowerShell,PowerShell Transkript Günlüğü (Transcript Logging) ne kaydeder?,"Her PowerShell oturumunun, tüm giriş ve çıkışlar dâhil olmak üzere benzersiz bir kaydını oluşturur.","PowerShell Transkript Günlüğü, çalıştırılan komutları, komut çıktısını ve komutların çalıştırıldığı zaman damgalarını kaydeder. Bu, komut satırı oturumlarının tam bir kaydını sağlar ve güvenlik denetimleri için kullanılır."
PowerShell,Get-Help komutu ne işe yarar?,PowerShell'de başka herhangi bir komutla ilgili yardım almak ve komut sözdizimini öğrenmek için kullanılır.,"Get-Help komutu, PowerShell'de belirli bir komut veya cmdlet hakkında ayrıntılı bilgi ve kullanım kılavuzu sağlar. Bu komut, kullanıcıların komutların sözdizimini, parametrelerini ve örneklerini öğrenmelerine yardımcı olur."
PowerShell,Set-ExecutionPolicy komutu neden kullanılır?,"Kötü niyetli kodun yürütülmesini önlemek amacıyla PowerShell komut dosyalarının çalıştırılmasıyla ilgili güvenlik düzeyini (kısıtlı, sınırsız vb.) belirlemek için kullanılır.","Set-ExecutionPolicy komutu, PowerShell'de betiklerin çalıştırılmasına izin verme veya kısıtlama seviyesini belirlemek için kullanılır. Bu komut, sistemdeki güvenlik politikasını ayarlayarak hangi betiklerin çalıştırılabileceğini kontrol eder."
PowerShell,Get-Service komutu neyi listeler?,Sistemde yüklü olan tüm hizmetlerin bir listesini ve durumlarını sağlar.,"Get-Service komutu, Windows işletim sisteminde çalışan veya durdurulmuş olan tüm hizmetleri listeler. Bu komut, hizmetlerin durumunu ve adlarını görüntülemek için kullanılır."
Zararlı Yazılım Analizi,SysInternalsSuite nedir?,"Microsoft işletim sistemini izlemek, yönetmek ve sorunları gidermek için kullanılan, kurulum gerektirmeyen birçok aracı barındıran yardımcı yazılım setidir.","SysInternals Suite, Microsoft tarafından sağlanan ve Windows işletim sistemlerinde tanılama, izleme ve sorun giderme işlemleri için kullanılan bir dizi gelişmiş sistem yardımcı programıdır. Bu araçlar, sistem performansı, güvenliği ve yönetimi konularında derinlemesine analiz ve kontrol imkanı sunar."
Zararlı Yazılım Analizi,Explorer.exe işleminin önemi nedir?,"İşletim sisteminin kabuğunu (Shell) temsil eden, normal şartlarda parent işlemi olmayan ve ağ trafiği oluşturmaması gereken bir işlemdir.","Explorer.exe, Windows işletim sisteminde kullanıcı arayüzünü sağlayan bir işlemdir ve masaüstü, görev çubuğu ve dosya yöneticisi gibi temel bileşenlerin çalışmasını sağlar. Bu işlem olmadan, kullanıcılar dosyalara erişemez veya sistemin grafiksel arayüzünü kullanamaz."
